[2023-08-18 23:47:05] [INFO    ] discord.client: logging in using static token
[2023-08-18 23:47:05] [DEBUG   ] discord.http: GET https://discord.com/api/v10/users/@me with None has returned 200
[2023-08-18 23:47:05] [DEBUG   ] discord.http: GET /users/@me has found its initial rate limit bucket hash (f7ead6a7674e5a323d93786263b66cb1).
[2023-08-18 23:47:05] [DEBUG   ] discord.http: GET https://discord.com/api/v10/users/@me has received {'id': '1112064176173613226', 'username': '*•.¸♡ 𝙆𝙤𝙧𝙤𝙣𝙚 ♡¸.•*', 'avatar': 'd9b69a0973532693419abc5c8d054b24', 'discriminator': '8582', 'public_flags': 0, 'flags': 0, 'bot': True, 'banner': None, 'accent_color': None, 'global_name': None, 'avatar_decoration_data': None, 'banner_color': None, 'mfa_enabled': True, 'locale': 'en-US', 'premium_type': 0, 'email': None, 'verified': True, 'bio': ''}
[2023-08-18 23:47:06] [DEBUG   ] discord.http: GET https://discord.com/api/v10/oauth2/applications/@me with None has returned 200
[2023-08-18 23:47:06] [DEBUG   ] discord.http: GET /oauth2/applications/@me has found its initial rate limit bucket hash (f7ead6a7674e5a323d93786263b66cb1).
[2023-08-18 23:47:06] [DEBUG   ] discord.http: GET https://discord.com/api/v10/oauth2/applications/@me has received {'id': '1112064176173613226', 'name': 'Psycho', 'icon': 'c50284c1a24b6b9f4c13131c292cd851', 'description': '', 'type': None, 'cover_image': '07b898e3771a1df6526cb759fcf75c8d', 'bot': {'id': '1112064176173613226', 'username': '*•.¸♡ 𝙆𝙤𝙧𝙤𝙣𝙚 ♡¸.•*', 'avatar': 'd9b69a0973532693419abc5c8d054b24', 'discriminator': '8582', 'public_flags': 0, 'flags': 0, 'bot': True, 'banner': None, 'accent_color': None, 'global_name': None, 'avatar_decoration_data': None, 'banner_color': None}, 'summary': '', 'guild_id': '1121115369646608434', 'bot_public': False, 'bot_require_code_grant': False, 'verify_key': 'a1e0a0c090e43443fd3bcce31aae4c17d13901b6e0f0bb3c79f6ecc85cb61aa2', 'flags': 11051008, 'hook': True, 'redirect_uris': [], 'interactions_endpoint_url': None, 'role_connections_verification_url': None, 'owner': {'id': '874561925856505857', 'username': '_rai_raiden_', 'avatar': '7077d3110be26c0b88c48ed0c3862b4c', 'discriminator': '0', 'public_flags': 4194560, 'flags': 4194560, 'banner': None, 'accent_color': 2303016, 'global_name': ': ̗̀➛ [ ʀᴀɪᴅᴇɴ ] ¡!', 'avatar_decoration_data': None, 'banner_color': '#232428'}, 'approximate_guild_count': 2, 'interactions_event_types': [], 'interactions_version': 1, 'explicit_content_filter': 0, 'rpc_application_state': 0, 'store_application_state': 1, 'creator_monetization_state': 1, 'verification_state': 1, 'integration_public': False, 'integration_require_code_grant': False, 'discoverability_state': 1, 'discovery_eligibility_flags': 3008, 'monetization_eligibility_flags': 0, 'team': None}
[2023-08-18 23:47:06] [DEBUG   ] discord.gateway: Created websocket connected to wss://gateway.discord.gg/
[2023-08-18 23:47:06] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 10, 'd': {'heartbeat_interval': 41250, '_trace': ['["gateway-prd-us-east1-c-xqsb",{"micros":0.0}]']}}
[2023-08-18 23:47:06] [DEBUG   ] discord.gateway: Shard ID None has sent the IDENTIFY payload.
[2023-08-18 23:47:06] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
